architecture,dropout,lr,node_features,train_mse,test_mse
24,0.3,0.01,overview,332.3085775724959,334.72564809322176
24,0.3,0.01,overview,322.3096667635109,325.09987324726154
24,0.3,0.01,overview,312.21775981145373,315.23520350605423
24,0.3,0.01,overview,301.8836432557574,304.50969303542354
24,0.3,0.01,overview,289.41228127198985,292.9301558544656
24,0.3,0.01,overview,275.6321143122028,278.5994356790055
24,0.3,0.01,overview,260.7284460336177,263.54173402384583
24,0.3,0.01,overview,244.74773142233855,248.635838223917
24,0.3,0.01,overview,227.66986147426928,231.36281284760264
24,0.3,0.01,overview,209.8689466636839,212.69812861900056
24,0.3,0.01,overview,190.38925448131297,191.94911501558056
24,0.3,0.01,overview,170.45757518231366,172.74944792815538
24,0.3,0.01,overview,151.80397461217018,155.02178073284372
24,0.3,0.01,overview,131.74301567775194,138.21217851763544
24,0.3,0.01,overview,114.05129467489179,116.95281823853466
24,0.3,0.01,overview,97.6372625125038,101.29614775089792
24,0.3,0.01,overview,83.45248114190997,84.35138718470391
24,0.3,0.01,overview,71.73683206527696,72.27180001813446
24,0.3,0.01,overview,61.80046568246576,63.31188751690912
24,0.3,0.01,overview,54.202215493728076,58.645014726108094
24,0.3,0.01,overview,53.80646211229831,51.073443240362714
24,0.3,0.01,overview,54.2090521988099,55.71448849066109
24,0.3,0.01,overview,58.217073361248126,55.55148120859911
24,0.3,0.01,overview,61.45649983602422,60.09170044106806
24,0.3,0.01,overview,63.73470341698434,57.728730838697395
24,0.3,0.01,overview,68.93909786243762,59.0103425149985
24,0.3,0.01,overview,68.50957449785209,70.27905860332905
24,0.3,0.01,overview,69.41401507680466,64.17563766692324
24,0.3,0.01,overview,69.17948404196714,63.82283898246547
24,0.3,0.01,overview,62.22459158559349,57.793912214448596
24,0.3,0.01,overview,60.466699491259526,54.471637834176875
24,0.3,0.01,overview,55.52375308726081,51.38639464477815
24,0.3,0.01,overview,53.779374383143356,49.79562477064066
24,0.3,0.01,overview,46.77150650732147,48.24119681794854
24,0.3,0.01,overview,45.13263001045192,46.61441226176315
24,0.3,0.01,overview,44.3004565058008,43.884106900219464
24,0.3,0.01,overview,41.44452139427498,43.01568978718985
