architecture,dropout,lr,node_features,train_mse,test_mse
8,0.5,0.03,keywords,335.69133368453913,337.3139607440753
8,0.5,0.03,keywords,325.779414785663,327.70065584779104
8,0.5,0.03,keywords,312.9669438044274,314.57913599730534
8,0.5,0.03,keywords,298.3640031490844,300.8844100261497
8,0.5,0.03,keywords,282.10631524138284,283.434609101316
8,0.5,0.03,keywords,263.09975143769435,267.56394900217924
8,0.5,0.03,keywords,243.94468973072702,247.18982883058334
8,0.5,0.03,keywords,223.67779712327743,228.87801990101292
8,0.5,0.03,keywords,202.14308019969653,204.2789583818249
8,0.5,0.03,keywords,179.54713409420282,184.05184353620905
8,0.5,0.03,keywords,159.17918708614172,160.77869521300883
8,0.5,0.03,keywords,134.3884641345606,136.13308132330727
8,0.5,0.03,keywords,113.38543609703859,114.52511383558881
8,0.5,0.03,keywords,94.3897851440519,98.72610198856671
8,0.5,0.03,keywords,75.33620059005735,79.76931645490963
8,0.5,0.03,keywords,62.207713379901236,66.93962992416118
8,0.5,0.03,keywords,52.22591748850542,55.717120657937635
8,0.5,0.03,keywords,47.01229179515482,50.48210362481693
8,0.5,0.03,keywords,48.14222168336378,47.69450647232815
8,0.5,0.03,keywords,47.564603487953924,47.36253922135313
8,0.5,0.03,keywords,52.61518081918582,54.20402762067601
8,0.5,0.03,keywords,56.73831958393713,55.15884595421143
8,0.5,0.03,keywords,57.15830250988355,68.08997081185636
8,0.5,0.03,keywords,60.627384465685374,58.26996728602397
8,0.5,0.03,keywords,61.34739793338649,62.68920720484953
8,0.5,0.03,keywords,56.33514128480582,52.36130741373061
8,0.5,0.03,keywords,54.95386859645546,55.51735031229456
8,0.5,0.03,keywords,46.85841728060066,47.67286652713849
8,0.5,0.03,keywords,44.42425124273811,43.641850427091484
8,0.5,0.03,keywords,37.89738958234436,40.749122087966086
8,0.5,0.03,keywords,37.59864491068189,38.49388996278379
8,0.5,0.03,keywords,32.567786607630424,32.77343370808342
8,0.5,0.03,keywords,32.55920714612166,30.037033239711736
8,0.5,0.03,keywords,31.362773042576688,32.73256681316979
8,0.5,0.03,keywords,30.795507495661703,34.94599164802514
8,0.5,0.03,keywords,30.60078205452509,35.01719289789843
8,0.5,0.03,keywords,31.02828595993738,33.46091950895279
8,0.5,0.03,keywords,31.23721180978379,34.07420501482166
8,0.5,0.03,keywords,31.265209781250057,33.173782945254366
8,0.5,0.03,keywords,29.249312187302124,30.237853460947196
8,0.5,0.03,keywords,27.566887528675327,31.42949280833021
8,0.5,0.03,keywords,26.864683773100698,29.458051715114472
8,0.5,0.03,keywords,24.82416401364071,27.66191392635316
8,0.5,0.03,keywords,24.404477610517837,27.293409748173413
8,0.5,0.03,keywords,22.445059112071405,24.15345822608962
8,0.5,0.03,keywords,22.179274615696418,23.260556142103226
8,0.5,0.03,keywords,20.816863312445776,23.154077248495987
8,0.5,0.03,keywords,20.024964731247458,21.518639481588448
8,0.5,0.03,keywords,19.854116248659246,23.487743005718873
8,0.5,0.03,keywords,19.720182541040234,24.305988547069887
8,0.5,0.03,keywords,18.02159900115861,19.242648517443648
8,0.5,0.03,keywords,17.240828911286087,20.084437148052583
8,0.5,0.03,keywords,17.5556541603147,19.62766237174321
8,0.5,0.03,keywords,16.75835881891878,17.59405321759728
8,0.5,0.03,keywords,16.043928474370833,18.488017274123838
8,0.5,0.03,keywords,15.875976941075905,16.269520301546976
8,0.5,0.03,keywords,14.132110220106899,15.961733628363906
8,0.5,0.03,keywords,14.67888945337041,15.060801466567005
8,0.5,0.03,keywords,13.40120736754563,14.669374980450115
8,0.5,0.03,keywords,13.773310967658913,14.6396974940615
8,0.5,0.03,keywords,12.297272760008644,15.583410565913272
8,0.5,0.03,keywords,12.321263297074571,14.201474318642298
8,0.5,0.03,keywords,11.348674896136604,14.45035368586796
8,0.5,0.03,keywords,10.90004862378417,13.516012042343444
8,0.5,0.03,keywords,10.549212167587845,11.9157133343644
8,0.5,0.03,keywords,10.050523338121433,11.357866437065855
8,0.5,0.03,keywords,9.374471989852275,11.796021658123005
8,0.5,0.03,keywords,8.380085038294457,10.706750843193978
8,0.5,0.03,keywords,8.625562615163474,10.264161991348628
8,0.5,0.03,keywords,7.67302607469183,9.86312193216905
8,0.5,0.03,keywords,7.2539241509151156,7.948631521805401
8,0.5,0.03,keywords,6.537509454528791,8.2419044866223
8,0.5,0.03,keywords,5.871133808367906,7.695248609568602
8,0.5,0.03,keywords,5.6024115945741215,8.048058610055735
8,0.5,0.03,keywords,5.444628236360216,7.023926969890464
8,0.5,0.03,keywords,5.099523210426514,6.75222431725628
8,0.5,0.03,keywords,4.723003613138661,6.375559252396652
8,0.5,0.03,keywords,3.919493920073839,5.943063206099013
8,0.5,0.03,keywords,4.151570078281803,5.281280496541452
8,0.5,0.03,keywords,3.6328972881358608,5.306680854511595
8,0.5,0.03,keywords,3.5596442884991895,5.229544192525878
8,0.5,0.03,keywords,3.227960678425294,4.52392885524054
8,0.5,0.03,keywords,3.0169016972575156,4.30103187942352
