architecture,dropout,lr,node_features,train_mse,test_mse
16,0.5,0.03,keywords,322.5229568624031,322.2699983362846
16,0.5,0.03,keywords,308.9694213519209,308.72886265832364
16,0.5,0.03,keywords,290.8217981145489,290.4138174656748
16,0.5,0.03,keywords,267.33183160006365,267.4056621476391
16,0.5,0.03,keywords,240.6076790270426,240.26163168566924
16,0.5,0.03,keywords,210.75640497991427,209.11098474310558
16,0.5,0.03,keywords,176.84801701511256,175.34907469890553
16,0.5,0.03,keywords,144.18562939105766,144.79830791573727
16,0.5,0.03,keywords,112.88106135962043,111.05222233053782
16,0.5,0.03,keywords,85.54850029554407,86.07274677931514
16,0.5,0.03,keywords,60.884192223665664,61.78111700789806
16,0.5,0.03,keywords,48.1420870530349,46.59829157473935
16,0.5,0.03,keywords,43.75740196139327,42.169077984777644
16,0.5,0.03,keywords,47.491626451513994,45.21521641613598
16,0.5,0.03,keywords,61.55222446952209,55.27694450183397
16,0.5,0.03,keywords,73.45945808671271,78.32674124478591
16,0.5,0.03,keywords,73.30649846184767,74.12976602264943
16,0.5,0.03,keywords,70.70084622505314,66.39305611798451
16,0.5,0.03,keywords,63.39629444529773,66.75124628221809
16,0.5,0.03,keywords,54.03811399139508,49.45177103048619
16,0.5,0.03,keywords,45.28145967074743,45.15534927667689
16,0.5,0.03,keywords,40.83899013194317,39.024751268863824
16,0.5,0.03,keywords,32.218859879915044,36.97494991256457
16,0.5,0.03,keywords,32.02088769177364,31.522822545954124
16,0.5,0.03,keywords,32.49167320974057,32.60817213484257
16,0.5,0.03,keywords,32.26582232107594,35.05704395053806
16,0.5,0.03,keywords,36.095165110147796,32.70307473607412
16,0.5,0.03,keywords,36.60842436654508,37.957179884041054
16,0.5,0.03,keywords,36.37847910261681,36.72870120908428
16,0.5,0.03,keywords,35.707669548530035,37.2805994906338
16,0.5,0.03,keywords,34.6429371341949,35.62790943369749
16,0.5,0.03,keywords,33.97490277476402,34.3524183608686
16,0.5,0.03,keywords,30.996333262588998,32.243886903368626
16,0.5,0.03,keywords,27.844186978627235,29.160617279848257
16,0.5,0.03,keywords,25.68392229514924,30.104324587050456
16,0.5,0.03,keywords,24.061363811469075,26.247916507986254
16,0.5,0.03,keywords,23.218394828793123,25.158717805767527
16,0.5,0.03,keywords,22.635221767302287,21.542797296032028
16,0.5,0.03,keywords,21.956040161224976,23.964580025696645
16,0.5,0.03,keywords,23.235844379741046,25.794204201363247
16,0.5,0.03,keywords,22.760527089989598,24.548557249753127
16,0.5,0.03,keywords,22.329632205101376,24.087236134216116
16,0.5,0.03,keywords,21.436969827808095,22.519068764595318
16,0.5,0.03,keywords,20.302805254085854,24.64256115804558
16,0.5,0.03,keywords,20.063207057229523,21.79012600488974
16,0.5,0.03,keywords,18.680912934804617,21.929616800740824
16,0.5,0.03,keywords,16.80880033666044,19.973983743133996
16,0.5,0.03,keywords,16.795930383555298,22.382191353632063
16,0.5,0.03,keywords,17.1211756659152,20.153371251666723
16,0.5,0.03,keywords,16.2598605999796,16.168653626918296
16,0.5,0.03,keywords,15.893653910430194,20.00732051837429
16,0.5,0.03,keywords,16.02039773201997,17.40921358007909
16,0.5,0.03,keywords,14.770218678617255,17.644434226659758
16,0.5,0.03,keywords,15.895087506843817,16.70359439886742
16,0.5,0.03,keywords,14.104200520994823,15.815837998773546
16,0.5,0.03,keywords,13.37473907181481,16.4738217295965
16,0.5,0.03,keywords,13.31694307163092,16.294677271429656
16,0.5,0.03,keywords,12.889511961629442,13.997809192432316
16,0.5,0.03,keywords,12.297139967292033,15.115893469984016
16,0.5,0.03,keywords,12.18060115560534,13.915791975008727
16,0.5,0.03,keywords,11.363110146600299,14.446038491532663
16,0.5,0.03,keywords,10.783001475189838,14.458946873802132
16,0.5,0.03,keywords,10.750721715038651,12.491810783381748
16,0.5,0.03,keywords,10.60022315484546,12.469059518369493
16,0.5,0.03,keywords,9.594695310753032,11.888587867884892
16,0.5,0.03,keywords,9.483627179005136,12.61713858332933
16,0.5,0.03,keywords,9.014834174243644,12.435498932184547
16,0.5,0.03,keywords,9.077520209627979,11.04010991865112
16,0.5,0.03,keywords,8.447925338346183,10.953010867419618
16,0.5,0.03,keywords,8.348283069944188,11.787447441933162
16,0.5,0.03,keywords,8.186825074710155,11.08507028154991
16,0.5,0.03,keywords,7.29443840148273,9.896859907334852
16,0.5,0.03,keywords,7.294636644254746,10.708996242840726
16,0.5,0.03,keywords,7.004482270205459,9.495449271830578
16,0.5,0.03,keywords,6.988542110617206,9.550553657676522
16,0.5,0.03,keywords,6.63978027229556,9.56578644684918
16,0.5,0.03,keywords,6.629555509004282,9.053182952139244
16,0.5,0.03,keywords,5.839165142232715,8.611622445942778
16,0.5,0.03,keywords,5.709713166457516,7.927119472787067
16,0.5,0.03,keywords,5.579279864814,8.113705908024922
16,0.5,0.03,keywords,5.336570445765411,7.508815485062196
16,0.5,0.03,keywords,4.980073404775978,7.625344702319514
16,0.5,0.03,keywords,4.711479290796474,6.670784871760314
16,0.5,0.03,keywords,4.693133422140087,7.507444306038557
16,0.5,0.03,keywords,4.703436795505607,5.9894732349618724
16,0.5,0.03,keywords,4.183933878101776,6.138051001248154
16,0.5,0.03,keywords,4.050953390960759,5.8322388596413655
16,0.5,0.03,keywords,3.673721161072415,5.390618000801814
16,0.5,0.03,keywords,3.61065241604203,5.960619199553464
16,0.5,0.03,keywords,3.385334363485046,4.569744020695955
16,0.5,0.03,keywords,3.2703168086459673,4.815034314797957
16,0.5,0.03,keywords,2.7983391056566935,4.676060480857821
16,0.5,0.03,keywords,2.8345496607834026,4.249321903363623
16,0.5,0.03,keywords,2.658981776956422,3.8750502486702914
16,0.5,0.03,keywords,2.6730486927394477,4.579030870300301
16,0.5,0.03,keywords,2.5874805468832696,4.407833496956992
16,0.5,0.03,keywords,2.435258286572084,3.7440815584182037
16,0.5,0.03,keywords,2.3283754588871375,3.7388509050045378
16,0.5,0.03,keywords,2.2901568120733864,3.4487307667663565
16,0.5,0.03,keywords,2.409104454556055,3.613837755503179
16,0.5,0.03,keywords,2.2592538622898783,3.5067009717349817
16,0.5,0.03,keywords,2.2552223242599023,3.6273070556726874
16,0.5,0.03,keywords,2.055501606412792,3.0136307436301295
16,0.5,0.03,keywords,2.1633653539168,3.140068930830072
16,0.5,0.03,keywords,2.184186831797299,3.1159602354057285
16,0.5,0.03,keywords,2.050712932719668,3.451779018696583
16,0.5,0.03,keywords,1.8740138808383435,3.3075174164049854
16,0.5,0.03,keywords,1.8506647306460677,3.209490261014641
16,0.5,0.03,keywords,1.952557789481139,3.1246248193507657
16,0.5,0.03,keywords,1.8976159724822321,3.1115378348492633
16,0.5,0.03,keywords,1.791316519633019,3.4995900581059116
16,0.5,0.03,keywords,1.7402201729157507,2.9960282193431027
16,0.5,0.03,keywords,1.7319350726031502,3.1932017360384046
16,0.5,0.03,keywords,1.6329158424397232,2.9493073581227525
16,0.5,0.03,keywords,1.706645974366803,3.0599945938909765
16,0.5,0.03,keywords,1.706482760328388,2.7797210429209396
16,0.5,0.03,keywords,1.5125633548485005,2.7941731645215637
16,0.5,0.03,keywords,1.6188254231716857,2.9677517960921693
16,0.5,0.03,keywords,1.535475312811848,2.8395706151539644
16,0.5,0.03,keywords,1.5304045747017152,2.947152272569343
16,0.5,0.03,keywords,1.5624762184355698,2.735513006827573
16,0.5,0.03,keywords,1.4517536085871605,2.780536972550835
16,0.5,0.03,keywords,1.518239927719754,2.6742353480898644
16,0.5,0.03,keywords,1.5034185422932078,2.8751042968827476
16,0.5,0.03,keywords,1.392486153168677,2.6478594926323162
16,0.5,0.03,keywords,1.337358075759088,3.0123107395104443
16,0.5,0.03,keywords,1.4010969626344676,2.689879416674557
16,0.5,0.03,keywords,1.350295013867852,2.7193435235337384
16,0.5,0.03,keywords,1.232751051074711,2.6706804892396527
16,0.5,0.03,keywords,1.2255149777105454,2.3453155000412482
16,0.5,0.03,keywords,1.2077662319912035,2.4506917165881217
16,0.5,0.03,keywords,1.2625890086845764,2.760094865726826
16,0.5,0.03,keywords,1.2767229251249015,2.5144725114172797
16,0.5,0.03,keywords,1.1927986881887915,2.5715833341700174
16,0.5,0.03,keywords,1.228974215076055,2.5763070550153726
16,0.5,0.03,keywords,1.2143207651704657,2.441429459370446
16,0.5,0.03,keywords,1.1312131566867412,2.3366757310093242
16,0.5,0.03,keywords,1.217725911153171,2.4657147596009987
16,0.5,0.03,keywords,1.1751492607202214,2.6100853677041456
16,0.5,0.03,keywords,1.1589612387192474,2.451903299510227
16,0.5,0.03,keywords,1.1068135239288757,2.393090692534657
16,0.5,0.03,keywords,1.0882489137750957,2.525350315849455
16,0.5,0.03,keywords,1.1148855898496894,2.3260782560052107
16,0.5,0.03,keywords,1.0536198929946796,2.4374478561036494
16,0.5,0.03,keywords,1.05584179534252,2.526086286795002
16,0.5,0.03,keywords,1.0312000176326233,2.515853853993925
16,0.5,0.03,keywords,1.1166910692534633,2.70405925803404
16,0.5,0.03,keywords,1.1327742151539868,2.5420027075180474
16,0.5,0.03,keywords,1.02500249373888,2.5446143734466493
16,0.5,0.03,keywords,0.9837922936630564,2.501793016618509
16,0.5,0.03,keywords,1.0951523214349481,2.43206538462554
16,0.5,0.03,keywords,0.9175590745129482,2.548351803242794
16,0.5,0.03,keywords,0.9567410977771323,2.631314830560571
16,0.5,0.03,keywords,0.9620969309762029,2.108230296038083
16,0.5,0.03,keywords,0.9764535444601373,2.0952293728341527
16,0.5,0.03,keywords,0.9263969513284845,2.4392816088445786
16,0.5,0.03,keywords,0.9021735003718213,2.1836313183231093
16,0.5,0.03,keywords,0.9076014984997058,2.071992491883693
16,0.5,0.03,keywords,0.8931874833982214,2.1431338550296575
16,0.5,0.03,keywords,0.9357873061907875,2.1331068944673506
16,0.5,0.03,keywords,0.8874468512214191,2.133376391502031
16,0.5,0.03,keywords,0.8436565931155248,2.368501050523169
16,0.5,0.03,keywords,0.8791935660211317,2.4328301657424025
16,0.5,0.03,keywords,0.8281833951984002,2.3205426492885977
16,0.5,0.03,keywords,0.8283912759488781,2.304996642497882
16,0.5,0.03,keywords,0.8754719987593751,1.9835012381319947
16,0.5,0.03,keywords,0.7696604852149778,2.313969611601637
16,0.5,0.03,keywords,0.8061085710785388,2.024840988929889
16,0.5,0.03,keywords,0.7658514362658821,2.2355869698664126
16,0.5,0.03,keywords,0.7822917826633227,2.1799153033929306
16,0.5,0.03,keywords,0.7997861490327806,2.4134032110775525
16,0.5,0.03,keywords,0.7550374596076066,2.25263560377813
16,0.5,0.03,keywords,0.7726362262343918,2.105752911203655
16,0.5,0.03,keywords,0.750956285248226,2.204063505155347
16,0.5,0.03,keywords,0.7515626686399486,2.1842093049638307
16,0.5,0.03,keywords,0.7113169897783747,2.2160664016046137
16,0.5,0.03,keywords,0.7289942227776577,2.2871975077354043
16,0.5,0.03,keywords,0.7409391050642082,2.118003233340755
16,0.5,0.03,keywords,0.663155125973899,2.0527481472428417
16,0.5,0.03,keywords,0.6933424053037943,2.1542295841139034
16,0.5,0.03,keywords,0.7307479327200788,2.1534288905597574
16,0.5,0.03,keywords,0.6942562599109583,2.132059253394356
16,0.5,0.03,keywords,0.688962671597856,2.0750956840357446
16,0.5,0.03,keywords,0.7055824402254963,2.2266913027806106
16,0.5,0.03,keywords,0.671598736169902,1.924651237653604
16,0.5,0.03,keywords,0.6632846489421119,2.212034380120392
16,0.5,0.03,keywords,0.6666513042223897,2.0587630687334726
16,0.5,0.03,keywords,0.6432734308743822,2.1769835027627704
16,0.5,0.03,keywords,0.6349666508789711,1.9266106526043107
16,0.5,0.03,keywords,0.6305283806756321,2.2014693538924766
16,0.5,0.03,keywords,0.6949267761670016,2.29836986534695
16,0.5,0.03,keywords,0.6222337409415049,2.0514374260974555
16,0.5,0.03,keywords,0.6193185814260377,2.1531578756805834
16,0.5,0.03,keywords,0.6305448469409628,1.9931616879491945
16,0.5,0.03,keywords,0.6152984310888446,2.1025187724057295
16,0.5,0.03,keywords,0.5695606904514549,2.129288593855221
16,0.5,0.03,keywords,0.5704108607026023,2.2049115987090846
16,0.5,0.03,keywords,0.5630757339397835,2.0625842184749654
16,0.5,0.03,keywords,0.6001254597837454,1.8178210561094907
16,0.5,0.03,keywords,0.5782928710101766,1.927454743530352
16,0.5,0.03,keywords,0.5567192612786951,2.0687921982930826
16,0.5,0.03,keywords,0.5728388700571978,1.8558937474108246
16,0.5,0.03,keywords,0.5511465343695857,1.9797317680550808
16,0.5,0.03,keywords,0.5263507655963805,2.0453282562655604
16,0.5,0.03,keywords,0.569804756208161,2.0397813173882042
16,0.5,0.03,keywords,0.5603245303171404,1.81442790419193
16,0.5,0.03,keywords,0.5371376322036032,2.0517393609253327
16,0.5,0.03,keywords,0.519238900829226,1.9068843842683136
16,0.5,0.03,keywords,0.520525966732133,2.059377183692641
16,0.5,0.03,keywords,0.4841607151510049,2.0336160070008424
16,0.5,0.03,keywords,0.5291442602845224,1.9710158253052068
16,0.5,0.03,keywords,0.5095332954100205,1.8110805656707565
16,0.5,0.03,keywords,0.4939401642483312,2.0475450925247114
16,0.5,0.03,keywords,0.48085427668210556,2.0014305491038913
16,0.5,0.03,keywords,0.4491986331139896,1.8327446244615988
16,0.5,0.03,keywords,0.5114332000274517,1.9028706133989743
16,0.5,0.03,keywords,0.5059427056891004,1.9808697627402638
16,0.5,0.03,keywords,0.44629107907329524,1.9527732234658217
16,0.5,0.03,keywords,0.4576809170494801,2.0705780555866427
16,0.5,0.03,keywords,0.46793869719706704,1.9134924893170033
16,0.5,0.03,keywords,0.42619868485667,1.9111650583428723
16,0.5,0.03,keywords,0.4487268627850822,1.7368220920610784
16,0.5,0.03,keywords,0.4620259720402812,1.9322580193754808
16,0.5,0.03,keywords,0.45451591340205855,1.8182598346119494
16,0.5,0.03,keywords,0.44225489392328576,1.765834062634386
16,0.5,0.03,keywords,0.42912878829599793,1.9344469472895072
16,0.5,0.03,keywords,0.43750715093585935,1.9282639058264106
16,0.5,0.03,keywords,0.4256499785358155,2.0053647415071656
16,0.5,0.03,keywords,0.45053631997607857,1.8012872202778714
16,0.5,0.03,keywords,0.44247856655250944,1.7587462897509532
16,0.5,0.03,keywords,0.4257984271415378,1.9291794142873158
16,0.5,0.03,keywords,0.4391301858972195,2.0312182881881284
16,0.5,0.03,keywords,0.3903836127291695,1.9517625062983521
16,0.5,0.03,keywords,0.39225630921365556,1.9636854108988966
16,0.5,0.03,keywords,0.4204394928227751,1.8547403962656612
16,0.5,0.03,keywords,0.40087860928672686,1.748783204869013
16,0.5,0.03,keywords,0.3853541048259713,1.9932410627120334
16,0.5,0.03,keywords,0.3677252495914233,1.8441071880312032
16,0.5,0.03,keywords,0.37282057532056023,1.8390238619309225
16,0.5,0.03,keywords,0.36099068941214146,2.028713689362871
16,0.5,0.03,keywords,0.35419484119199796,1.733093107221939
16,0.5,0.03,keywords,0.41334767630583746,1.777019469209777
16,0.5,0.03,keywords,0.3716513534761469,1.7425493373710488
16,0.5,0.03,keywords,0.38320324762703484,1.6643054051255768
16,0.5,0.03,keywords,0.3870429472437989,1.837135747231368
16,0.5,0.03,keywords,0.32879689861868727,1.756327848189816
16,0.5,0.03,keywords,0.36312011484776424,2.019128091355103
16,0.5,0.03,keywords,0.33774502695798586,1.8573971999218164
16,0.5,0.03,keywords,0.3363290546047894,1.864156158139127
16,0.5,0.03,keywords,0.35993931751784203,1.7554787832413983
