,model,mse_train,mse_test
0,LinearRegression,0.8860382437705994,1.10651433467865
1,LinearRegression,4.248173713684082,2.7885096073150635
2,RandomForestRegressor,0.9642817707144533,1.162210719419201
3,RandomForestRegressor,0.9512856481244144,1.1728899197503702
4,RandomForestRegressor,0.9557706093595776,1.1747141942028052
5,RandomForestRegressor,0.831308645618117,1.117575714801598
6,RandomForestRegressor,0.8189687991109359,1.1401309356250455
7,RandomForestRegressor,0.8128700838254956,1.1401938346196934
8,RandomForestRegressor,0.6129604589607566,1.106828246900915
9,RandomForestRegressor,0.5946231028445037,1.1051058371871993
10,RandomForestRegressor,0.5748709159598121,1.1054588810378718
11,RandomForestRegressor,0.46844508056644824,1.08757106333051
12,RandomForestRegressor,0.4589347305535721,1.0956104294681406
13,RandomForestRegressor,0.4369265473867214,1.0956779727038346
14,XGBRegressor,0.4896504878997803,1.0661603212356567
15,XGBRegressor,0.19468146562576294,1.1509783267974854
16,XGBRegressor,0.013244057074189186,1.1847167015075684
17,XGBRegressor,0.0007799527957104146,1.1870384216308594
18,MLPRegressor,0.35254162549972534,1.3524471521377563
19,MLPRegressor,0.15243983268737793,1.6570602655410767
20,MLPRegressor,1.2097244262695312,1.4261752367019653
