architecture,dropout,lr,node_features,train_mse,test_mse
16,0.5,0.01,overview,340.24476500557057,340.54196525332344
16,0.5,0.01,overview,328.5583799884209,328.3500646990137
16,0.5,0.01,overview,318.9393367736244,318.6920557089303
16,0.5,0.01,overview,309.6488340295291,309.16195784437474
16,0.5,0.01,overview,300.8889363293875,300.1832718887081
16,0.5,0.01,overview,291.64416632035017,291.000974112737
16,0.5,0.01,overview,281.4765532206568,280.81838869680314
16,0.5,0.01,overview,269.77000174701715,270.84968225787395
16,0.5,0.01,overview,257.44117620627725,257.8908688599679
16,0.5,0.01,overview,245.78906274441334,245.38985524418683
16,0.5,0.01,overview,232.04943719773917,232.10234394123475
16,0.5,0.01,overview,217.68060205642695,216.757266444251
16,0.5,0.01,overview,202.53246655000117,202.74777425439598
16,0.5,0.01,overview,189.37807485081564,185.10123292446633
16,0.5,0.01,overview,173.1617830295042,171.29140810992445
16,0.5,0.01,overview,156.34636269627018,155.46475252385605
16,0.5,0.01,overview,142.80331784082708,145.3727931457631
16,0.5,0.01,overview,127.6779037662877,128.68457832590138
16,0.5,0.01,overview,116.79665475203078,120.34338026948677
16,0.5,0.01,overview,103.0505481155952,100.43078596756483
16,0.5,0.01,overview,93.13647538545129,92.63631787421475
16,0.5,0.01,overview,82.88547370316711,86.59619264908645
16,0.5,0.01,overview,76.2228280795298,80.4162518337065
16,0.5,0.01,overview,69.82685884219694,70.66714877722174
16,0.5,0.01,overview,64.98671254419679,69.98737678870366
16,0.5,0.01,overview,65.03226941318182,63.95664584210429
16,0.5,0.01,overview,61.82654052439808,66.79973530295143
16,0.5,0.01,overview,64.90038389074807,75.58709858236008
16,0.5,0.01,overview,65.02253973564436,74.3826454807833
16,0.5,0.01,overview,70.68757489901738,76.20550653281741
16,0.5,0.01,overview,70.92450741201365,73.98298699660876
16,0.5,0.01,overview,74.85640569534077,90.58856247482744
16,0.5,0.01,overview,72.70723295930412,80.08657500705286
16,0.5,0.01,overview,72.54716646572142,80.61142478335627
16,0.5,0.01,overview,73.53056880849725,83.91484162863291
16,0.5,0.01,overview,69.28155462831717,90.17781888089394
16,0.5,0.01,overview,66.93870800236847,72.32578432050137
16,0.5,0.01,overview,61.93334332950615,65.68166010059244
16,0.5,0.01,overview,59.33844501255559,65.19311657158393
16,0.5,0.01,overview,59.90798526933814,66.34608957789322
16,0.5,0.01,overview,56.88755703822373,57.30969696850343
16,0.5,0.01,overview,53.168247911925356,53.1910175682182
16,0.5,0.01,overview,52.346756125154705,57.1293467696305
16,0.5,0.01,overview,51.24263015571196,53.99217817754707
16,0.5,0.01,overview,47.713134687297874,52.023993032100414
16,0.5,0.01,overview,47.19991119832453,51.194261329009365
16,0.5,0.01,overview,49.07110904659525,51.98948866083049
16,0.5,0.01,overview,47.49707035173188,53.04307637642894
16,0.5,0.01,overview,48.40569585505672,50.91091937580298
16,0.5,0.01,overview,47.0478583189737,53.20449729643543
16,0.5,0.01,overview,46.82981311215544,52.497086735803556
16,0.5,0.01,overview,45.630673203736755,48.385748954267704
16,0.5,0.01,overview,45.34798469968207,44.94351065705103
16,0.5,0.01,overview,45.13814832050089,47.093157081469776
16,0.5,0.01,overview,42.670736275822314,45.921638166081955
16,0.5,0.01,overview,41.156080825503544,46.849694902355075
16,0.5,0.01,overview,41.43135913518425,46.77284330576361
16,0.5,0.01,overview,39.69132373571169,46.24634745228158
16,0.5,0.01,overview,38.75264370589031,42.91171065172325
16,0.5,0.01,overview,38.005884330463935,41.37007075507809
16,0.5,0.01,overview,37.6478163421191,43.11373593054359
16,0.5,0.01,overview,35.87603936037329,44.139685346094424
16,0.5,0.01,overview,35.889921633528054,43.48890708447368
16,0.5,0.01,overview,36.235653357089994,39.867301371581185
16,0.5,0.01,overview,37.060048909576466,40.60942072940704
16,0.5,0.01,overview,34.6722444534033,39.42658037615932
16,0.5,0.01,overview,33.24351510984506,36.22264408328628
16,0.5,0.01,overview,33.27526354419792,35.727641538631346
16,0.5,0.01,overview,32.37210566767626,37.61233609462585
16,0.5,0.01,overview,32.090808271629705,35.41510081579324
16,0.5,0.01,overview,31.470331643124055,37.017111068593636
16,0.5,0.01,overview,30.525007753169835,35.37537313194887
16,0.5,0.01,overview,29.16585548003441,34.998395083279895
16,0.5,0.01,overview,28.79447053885031,37.095185027632944
16,0.5,0.01,overview,30.356530658020997,33.61327184726339
16,0.5,0.01,overview,30.23600610750256,29.229113182814146
